gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlyCharge,HighCharge,LowTenureHighCharge,Persona_Cluster
0,0,1,1,1.0773199150760393,1,0,0,0,2,0,2,2,2,2,1,1,0.3637380269487242,0.9846736532872616,0.5357236235123449,0,0,0
0,0,0,0,-1.041648797332788,1,2,1,0,2,0,0,0,0,0,1,0,0.4500996488970644,-0.7817975671565807,0.1974688753010484,0,0,1
0,0,0,0,0.8735729234982674,1,0,2,1,1,1,1,1,1,2,0,3,-1.49137604451851,-0.537223443113938,-1.2993343217982931,0,0,0
0,0,0,0,-1.2453957889105598,1,0,2,1,1,1,1,1,1,0,0,3,-1.473107239875592,-0.9946188062718544,-1.5194374558089314,0,0,0
0,0,1,0,1.5663126948626918,1,2,1,0,2,2,0,2,2,2,1,0,1.33364547344547,2.3086920446566555,1.4920282926394697,1,0,0
0,0,0,0,1.1180693133915935,1,2,1,0,2,2,0,2,2,0,1,2,1.358557479776722,1.7995251957624885,1.489714177283518,1,0,0
0,0,1,1,0.0178355588716256,1,2,2,1,1,1,1,1,1,1,0,1,-1.3568512103297492,-0.6599060428021747,-1.171328275996029,0,0,0
0,0,0,0,-1.041648797332788,1,0,2,1,1,1,1,1,1,0,0,3,-1.473107239875592,-0.9431110123135474,-1.3038782809441405,0,0,0
0,0,1,1,-0.7564030091239073,1,2,1,0,0,2,0,0,2,0,1,2,0.739078922339588,-0.4584894730829597,0.8040750264022125,0,0,1
1,0,0,0,1.607062093178246,0,1,0,2,0,2,2,2,2,2,1,1,-0.1261980975658989,0.9178277875785714,0.0263847842783536,0,0,0
1,1,1,0,-1.163896992279451,1,0,1,0,0,0,0,0,0,0,1,2,0.1727459784091253,-0.8884169427050895,-0.1068090567329512,0,0,1
1,0,0,0,-0.9601500007016792,1,0,2,1,1,1,1,1,1,0,0,1,-1.5046624478951778,-0.9322117521585476,-1.350262361455843,0,0,0
0,0,1,0,-0.7564030091239073,1,0,1,0,0,0,0,0,2,0,1,2,0.4351524450983131,-0.5183475066761455,0.5069551314842162,0,0,1
1,0,1,1,0.1808331521338431,0,1,0,2,0,2,2,0,0,1,1,2,-0.8237342748409557,-0.341256503472223,-0.6280519375375316,0,0,0
0,0,1,1,-0.1044126360750375,0,1,0,0,0,0,2,2,2,0,0,1,-0.4583581819825926,-0.3253690738511241,-0.2932953855490749,0,0,0
0,0,0,0,-1.2453957889105598,1,0,1,0,0,0,0,2,2,0,1,2,0.8437093489308467,-0.9377053308657048,-0.1069181315842431,1,1,1
1,0,0,0,-1.2046463905950056,1,2,1,0,0,0,0,0,0,0,0,3,0.3321828189291382,-0.919730341335886,-0.2309907749283035,0,0,1
